player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Jeremy Lamb,OKC,SG,5800.00,vs. HOU,5,26.95,48.5,6.75,13.15,40.75,0.8,0.4,0.4,0.2
Ish Smith,OKC,PG,3000.00,vs. HOU,3,6.67,10,1.5,2.96,10.37,0.33,0,0,0
Mirza Teletovic,BKN,PF,0,N/A,9,20.78,34,8.5,12.21,29.34,0,0,0,0
Brian Roberts,CHA,PG,0,N/A,10,11.78,24.75,4.25,6.47,17.08,0,0,0,0
Tony Wroten,PHI,SG,0,N/A,9,39,54.25,17.5,27.83,50.17,0,0,0,0
Quincy Acy,NYK,PF,3000.00,vs. DEN,8,12.16,24.5,5.25,6.16,18.15,0.5,0.38,0.38,0.13
Draymond Green,GSW,SF,6800.00,@ LAL,9,30.56,45.5,17,19.91,41.2,0.78,0.56,0.33,0.33
Patty Mills,SAS,PG,0,N/A,2,0,0,0,0,0,0,0,0,0
Ronnie Price,LAL,PG,3000.00,vs. GSW,8,15.59,27,7.5,9.42,21.77,0.75,0.63,0.63,0.25
Will Barton,POR,SG,0,N/A,7,7,11.5,3.5,3.59,10.41,0,0,0,0
Joel Freeland,POR,C,0,N/A,8,6.06,13.75,0,1.51,10.61,0,0,0,0
Pablo Prigioni,NYK,PG,3900.00,vs. DEN,9,11.53,27,0,3.81,19.25,0.44,0.22,0.11,0.11
Kent Bazemore,ATL,SG,0,N/A,6,5.96,10.5,0,2.31,9.6,0,0,0,0
Khris Middleton,MIL,SF,3000.00,@ MIA,6,18.38,27.5,6.25,12.13,24.62,0.83,0.83,0.83,0.83
Mike Scott,ATL,PF,0,N/A,8,13.22,28,4.5,6.21,20.22,0,0,0,0
Shaun Livingston,GSW,PG,3000.00,@ LAL,8,8.81,17.75,1.5,4.13,13.5,0.63,0.13,0.13,0
Luc Mbah a Moute,PHI,PF,0,N/A,8,19.19,38.75,11.75,11.15,27.22,0,0,0,0
Steve Nash,LAL,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Chris Douglas-Roberts,LAC,SG,0,N/A,5,3.65,7.25,0,1.19,6.11,0,0,0,0
Garrett Temple,WAS,SG,0,N/A,9,21.47,36.25,14.75,13.84,29.1,0,0,0,0
Jared Sullinger,BOS,C,0,N/A,8,33.53,42.5,25,27.88,39.18,0,0,0,0
Patrick Beverley,HOU,PG,4500.00,@ OKC,4,14.94,23,0,5.58,24.29,0.75,0.5,0.5,0
Chris Johnson,PHI,SF,0,N/A,9,13.28,30.75,3.25,5.51,21.05,0,0,0,0
Chris Andersen,MIA,C,3000.00,vs. MIL,5,6.6,22,0,-1.25,14.45,0.2,0.2,0.2,0.2
Aron Baynes,SAS,PF,0,N/A,8,12.19,30.5,7.5,5.04,19.34,0,0,0,0
Henry Sims,PHI,C,0,N/A,9,20,33,8,12.79,27.21,0,0,0,0
Malcolm Thomas,PHI,PF,0,N/A,5,11.75,19.25,4.25,5.36,18.14,0,0,0,0
Shavlik Randolph,PHO,PF,0,N/A,2,5.25,9.25,1.25,1.25,9.25,0,0,0,0
Justin Holiday,GSW,SF,3000.00,@ LAL,3,1.92,3.5,0,0.47,3.36,0,0,0,0
Mason Plumlee,BKN,PF,0,N/A,9,17.42,29.5,10.5,10.86,23.98,0,0,0,0
Michael Carter-Williams,PHI,PG,0,N/A,2,31.63,34,29.25,29.25,34,0,0,0,0
Hollis Thompson,PHI,SG,0,N/A,9,18.42,29.25,0.75,9.69,27.14,0,0,0,0
Victor Oladipo,ORL,SG,0,N/A,3,19.17,37.75,0,3.75,34.58,0,0,0,0
Gal Mekel,DAL,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Ricky Ledo,DAL,SG,0,N/A,1,0,0,0,0,0,0,0,0,0
Brandon Davies,PHI,PF,0,N/A,9,18.36,28.5,2.75,10.49,26.24,0,0,0,0
Ben McLemore,SAC,SG,0,N/A,10,17.1,27.5,5,9.56,24.64,0,0,0,0
Ray McCallum,SAC,PG,0,N/A,4,6.13,10.5,2.75,3.34,8.91,0,0,0,0
Nemanja Nedovic,GSW,PG,0,N/A,1,0,0,0,0,0,0,0,0,0
Shawne Williams,MIA,SF,4400.00,vs. MIL,9,23.14,36,11,16.29,29.99,0.89,0.89,0.56,0.33
Ryan Kelly,LAL,PF,3000.00,vs. GSW,3,4.5,11.5,0,-0.52,9.52,0.33,0,0,0
Justin Hamilton,MIA,C,3000.00,vs. MIL,5,9.4,26.25,0,0.41,18.39,0.2,0.2,0.2,0.2
Cody Zeller,CHA,C,0,N/A,10,18.08,25.5,11.5,13.89,22.26,0,0,0,0
Anthony Bennett,MIN,SF,0,N/A,9,11.72,25.75,0,3.26,20.19,0,0,0,0
Matthew Dellavedova,CLE,SG,0,N/A,3,8.42,11.5,4.5,5.5,11.33,0,0,0,0
Vitor Faverani,BOS,C,0,N/A,1,0,0,0,0,0,0,0,0,0
Kelly Olynyk,BOS,C,0,N/A,8,28.75,38.75,14,20.74,36.76,0,0,0,0
Phil Pressey,BOS,PG,0,N/A,3,12.17,17.25,3,5.67,18.66,0,0,0,0
Jorge Gutierrez,BKN,PG,0,N/A,2,1.75,4,-0.5,-0.5,4,0,0,0,0
Steven Adams,OKC,C,5100.00,vs. HOU,10,21.65,35,8.75,14.05,29.25,0.9,0.6,0.2,0.2
Andre Roberson,OKC,SG,3500.00,vs. HOU,4,19.5,30,6.25,10.86,28.14,0.75,0.75,0.75,0.5
Giannis Antetokounmpo,MIL,SG,5300.00,@ MIA,9,21.56,31.25,11.75,15.21,27.91,0.78,0.44,0.22,0
Nick Calathes,MEM,SG,0,N/A,1,0,0,0,0,0,0,0,0,0
Archie Goodwin,PHO,SG,0,N/A,3,4.75,8,2.75,2.43,7.07,0,0,0,0
Solomon Hill,IND,SF,0,N/A,11,24.59,42,8.75,15.01,34.17,0,0,0,0
Rasual Butler,WAS,SG,0,N/A,5,13.95,23.25,4.75,7.3,20.6,0,0,0,0
Kentavious Caldwell-Pope,DET,SG,0,N/A,10,19,26.25,7.25,12.5,25.5,0,0,0,0
Tony Snell,CHI,SG,0,N/A,7,6.21,15.25,1.25,2.03,10.39,0,0,0,0
Isaiah Canaan,HOU,PG,3500.00,@ OKC,9,15.61,28.5,2.75,6.48,24.74,0.67,0.56,0.44,0.33
Tim Hardaway Jr.,NYK,SG,3300.00,vs. DEN,10,13.18,26.5,1.5,4.24,22.11,0.5,0.4,0.4,0.4
Sergey Karasev,BKN,SG,0,N/A,3,3.17,4.75,1.5,1.84,4.49,0,0,0,0
Alex Len,PHO,C,0,N/A,10,14.78,37.75,2,3.94,25.61,0,0,0,0
Jordan Farmar,LAC,PG,0,N/A,8,8.97,18.75,0.25,3.1,14.84,0,0,0,0
Dewayne Dedmon,ORL,C,0,N/A,7,7.68,20.5,2,2.07,13.29,0,0,0,0
Ognjen Kuzmic,GSW,C,3000.00,@ LAL,3,1.92,3.25,0,0.53,3.31,0,0,0,0
Pero Antic,ATL,C,0,N/A,8,9.66,18,3.25,5.44,13.87,0,0,0,0
Robbie Hummel,MIN,SF,0,N/A,6,6.96,11.75,2,3.96,9.96,0,0,0,0
Shabazz Muhammad,MIN,SF,0,N/A,8,12.38,25.5,1.75,3.96,20.79,0,0,0,0
Ian Clark,UTA,SG,0,N/A,5,3.4,5.5,2,2.08,4.72,0,0,0,0
